Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Brain aneurysm,"Sudden, extremely severe headache",A dilated pupil,Change in vision or double vision,Numbness of one side of the face,Sensitivity to light,Seizure,A drooping eyelid,Loss of consciousness,Confusion,,,,,,,,
Adult Still's disease,"Fever. You might have a daily fever of at least 102 F (38.9 C) for a week or longer. The fever usually peaks in the late afternoon or early evening. You might have two fever spikes daily, with your temperature returning to normal in between.","Rash. A salmon-pink rash might come and go with the fever. The rash usually appears on your trunk, arms or legs.",Sore throat. This is one of the first symptoms of adult Still's disease. The lymph nodes in your neck might be swollen and tender.,"Achy and swollen joints. Your joints — especially your knees and wrists — might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders might also ache. The joint discomfort usually lasts at least two weeks.","Muscle pain. Muscular pain usually ebbs and flows with the fever, but the pain can be severe enough to disrupt your daily activities.",,,,,,,,,,,,
Lazy eye (amblyopia),An eye that wanders inward or outward,Eyes that appear to not work together,Poor depth perception,Squinting or shutting an eye,Head tilting,Abnormal results of vision screening tests,,,,,,,,,,,
Anhidrosis,Little or no perspiration,Dizziness,Muscle cramps or weakness,Flushing,Feeling hot,,,,,,,,,,,,
Anhidrosis,Over most of your body (generalized),In a single area,In scattered patches,Flushing,Feeling hot,,,,,,,,,,,,
Peanut allergy,"Skin reactions, such as hives, redness or swelling",Itching or tingling in or around the mouth and throat,"Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting",Tightening of the throat,Shortness of breath or wheezing,Runny nose,,,,,,,,,,,
Peanut allergy,Constriction of airways,Swelling of the throat that makes it difficult to breathe,A severe drop in blood pressure (shock),Rapid pulse,"Dizziness, lightheadedness or loss of consciousness",Runny nose,,,,,,,,,,,
Anterior prolapse (cystocele),A feeling of fullness or pressure in your pelvis and vagina,"In some cases, a bulge of tissue in your vagina that you can see or feel","Increased pelvic pressure when you strain, cough, bear down or lift","Problems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence)",,,,,,,,,,,,,
Occupational asthma,"Wheezing, sometimes just at night",Coughing,Shortness of breath,Chest tightness,,,,,,,,,,,,,
Occupational asthma,Runny nose,Nasal congestion,Eye irritation and tearing,Chest tightness,,,,,,,,,,,,,
Occupational asthma,"Get worse as the workweek progresses, go away during weekends and vacations, and recur when you return to work.",Occur both at work and away from work.,Start as soon as you're exposed to an asthma-inducing substance at work or only after a period of regular exposure to the substance.,"Continue after exposure is stopped. The longer you're exposed to the asthma-causing substance, the more likely you'll have long-lasting or permanent asthma symptoms.",,,,,,,,,,,,,
Occupational asthma,Rapid worsening of shortness of breath or wheezing,No improvement even after using a quick relief inhaler,Shortness of breath even with minimal activity,"Continue after exposure is stopped. The longer you're exposed to the asthma-causing substance, the more likely you'll have long-lasting or permanent asthma symptoms.",,,,,,,,,,,,,
Alzheimer's disease,Repeat statements and questions over and over,"Forget conversations, appointments or events, and not remember them later","Routinely misplace possessions, often putting them in illogical locations",Get lost in familiar places,Eventually forget the names of family members and everyday objects,"Have trouble finding the right words to identify objects, express thoughts or take part in conversations",,,,,,,,,,,
Alzheimer's disease,Depression,Apathy,Social withdrawal,Mood swings,Distrust in others,Irritability and aggressiveness,Changes in sleeping habits,Wandering,Loss of inhibitions,"Delusions, such as believing something has been stolen",,,,,,,
Alzheimer's disease,Alzheimer's disease care at Mayo Clinic,Alzheimer's or depression: Could it be both?,Alzheimer's stages,Memory loss: When to seek help,Sundowning: Late-day confusion,Irritability and aggressiveness,Changes in sleeping habits,Wandering,Loss of inhibitions,"Delusions, such as believing something has been stolen",,,,,,,
Anaphylaxis,"Skin reactions, including hives and itching and flushed or pale skin",Low blood pressure (hypotension),"Constriction of your airways and a swollen tongue or throat, which can cause wheezing and trouble breathing",A weak and rapid pulse,"Nausea, vomiting or diarrhea",Dizziness or fainting,,,,,,,,,,,
Brain tumor,New onset or change in pattern of headaches,Headaches that gradually become more frequent and more severe,Unexplained nausea or vomiting,"Vision problems, such as blurred vision, double vision or loss of peripheral vision",Gradual loss of sensation or movement in an arm or a leg,Difficulty with balance,Speech difficulties,Feeling very tired,Confusion in everyday matters,Difficulty making decisions,Inability to follow simple commands,Personality or behavior changes,"Seizures, especially in someone who doesn't have a history of seizures",Hearing problems,,,
Abdominal aortic aneurysm,"Deep, constant pain in your abdomen or on the side of your abdomen",Back pain,A pulse near your bellybutton,,,,,,,,,,,,,,
Exercise-induced asthma,Coughing,Wheezing,Shortness of breath,Chest tightness or pain,Fatigue during exercise,Poorer than expected athletic performance,Avoidance of activity (a sign primarily among young children),,,,,,,,,,
Exercise-induced asthma,"Shortness of breath or wheezing that is quickly increasing, making it a struggle to breathe",No improvement even after using a prescription inhaler for asthma attacks,Shortness of breath,Chest tightness or pain,Fatigue during exercise,Poorer than expected athletic performance,Avoidance of activity (a sign primarily among young children),,,,,,,,,,
Atopic dermatitis (eczema),Dry skin,"Itching, which may be severe, especially at night","Red to brownish-gray patches, especially on the hands, feet, ankles, wrists, neck, upper chest, eyelids, inside the bend of the elbows and knees, and in infants, the face and scalp","Small, raised bumps, which may leak fluid and crust over when scratched","Thickened, cracked, scaly skin","Raw, sensitive, swollen skin from scratching",,,,,,,,,,,
Atopic dermatitis (eczema),Is so uncomfortable that the condition is affecting sleep and daily activities,"Has a skin infection — look for red streaks, pus, yellow scabs",Continues to experience symptoms despite trying home remedies,"Small, raised bumps, which may leak fluid and crust over when scratched","Thickened, cracked, scaly skin","Raw, sensitive, swollen skin from scratching",,,,,,,,,,,
Anorexia nervosa,Extreme weight loss or not making expected developmental weight gains,Thin appearance,Abnormal blood counts,Fatigue,Insomnia,Dizziness or fainting,Bluish discoloration of the fingers,"Hair that thins, breaks or falls out","Soft, downy hair covering the body",Absence of menstruation,Constipation and abdominal pain,Dry or yellowish skin,Intolerance of cold,Irregular heart rhythms,Low blood pressure,Dehydration,Swelling of arms or legs
Anorexia nervosa,Severely restricting food intake through dieting or fasting,Exercising excessively,"Bingeing and self-induced vomiting to get rid of food, which may include the use of laxatives, enemas, diet aids or herbal products",Fatigue,Insomnia,Dizziness or fainting,Bluish discoloration of the fingers,"Hair that thins, breaks or falls out","Soft, downy hair covering the body",Absence of menstruation,Constipation and abdominal pain,Dry or yellowish skin,Intolerance of cold,Irregular heart rhythms,Low blood pressure,Dehydration,Swelling of arms or legs
Anorexia nervosa,"Preoccupation with food, which sometimes includes cooking elaborate meals for others but not eating them",Frequently skipping meals or refusing to eat,Denial of hunger or making excuses for not eating,"Eating only a few certain ""safe"" foods, usually those low in fat and calories","Adopting rigid meal or eating rituals, such as spitting food out after chewing",Not wanting to eat in public,Lying about how much food has been eaten,Fear of gaining weight that may include repeated weighing or measuring the body,Frequent checking in the mirror for perceived flaws,Complaining about being fat or having parts of the body that are fat,Covering up in layers of clothing,Flat mood (lack of emotion),Social withdrawal,Irritability,Insomnia,Reduced interest in sex,Swelling of arms or legs
Egg allergy,Skin inflammation or hives — the most common egg allergy reaction,"Nasal congestion, runny nose and sneezing (allergic rhinitis)","Digestive symptoms, such as cramps, nausea and vomiting","Asthma signs and symptoms such as coughing, wheezing, chest tightness or shortness of breath",,,,,,,,,,,,,
Egg allergy,"Constriction of airways, including a swollen throat or a lump in your throat that makes it difficult to breathe",Abdominal pain and cramping,Rapid pulse,"Shock, with a severe drop in blood pressure felt as dizziness, lightheadedness or loss of consciousness",,,,,,,,,,,,,
Radiation sickness,Nausea and vomiting,Diarrhea,Headache,Fever,Dizziness and disorientation,Weakness and fatigue,Hair loss,Bloody vomit and stools from internal bleeding,Infections,Low blood pressure,,,,,,,
Bartholin's cyst,"A tender, painful lump near the vaginal opening",Discomfort while walking or sitting,Pain during intercourse,Fever,,,,,,,,,,,,,
Hay fever,Runny nose and nasal congestion,"Watery, itchy, red eyes (allergic conjunctivitis)",Sneezing,Cough,"Itchy nose, roof of mouth or throat","Swollen, blue-colored skin under the eyes (allergic shiners)",Postnasal drip,Fatigue,,,,,,,,,
Hay fever,"Tree pollen, which is common in early spring.","Grass pollen, which is common in late spring and summer.","Ragweed pollen, which is common in fall.","Dust mites, cockroaches and dander from pets can be bothersome year-round (perennial). Symptoms caused by dander might worsen in winter, when houses are closed up.",Spores from indoor and outdoor fungi and molds are considered both seasonal and perennial.,"Swollen, blue-colored skin under the eyes (allergic shiners)",Postnasal drip,Fatigue,,,,,,,,,
Hay fever,You can't find relief from your hay fever symptoms,Allergy medications don't provide relief or cause annoying side effects,"You have another condition that can worsen hay fever symptoms, such as nasal polyps, asthma or frequent sinus infections","Dust mites, cockroaches and dander from pets can be bothersome year-round (perennial). Symptoms caused by dander might worsen in winter, when houses are closed up.",Spores from indoor and outdoor fungi and molds are considered both seasonal and perennial.,"Swollen, blue-colored skin under the eyes (allergic shiners)",Postnasal drip,Fatigue,,,,,,,,,
Reactive attachment disorder,"Unexplained withdrawal, fear, sadness or irritability",Sad and listless appearance,Not seeking comfort or showing no response when comfort is given,Failure to smile,Watching others closely but not engaging in social interaction,Failing to ask for support or assistance,Failure to reach out when picked up,No interest in playing peekaboo or other interactive games,,,,,,,,,
Ampullary cancer,Yellowing of the skin and eyes (jaundice),Clay-colored stools,Abdominal pain,Fever,Bleeding from the rectum,Nausea,Vomiting,Weight loss,,,,,,,,,
Pseudomembranous colitis,Watery diarrhea,"Abdominal cramps, pain or tenderness",Fever,Pus or mucus in your stool,Nausea,Dehydration,,,,,,,,,,,
Broken ankle,"Immediate, throbbing pain",Swelling,Bruising,Tenderness,Deformity,Difficulty or pain with walking or bearing weight,,,,,,,,,,,
Penicillin allergy,Skin rash,Hives,Itching,Fever,Swelling,Shortness of breath,Wheezing,Runny nose,"Itchy, watery eyes",Anaphylaxis,,,,,,,
Penicillin allergy,"Tightening of the airways and throat, causing trouble breathing",Nausea or abdominal cramps,Vomiting or diarrhea,Dizziness or lightheadedness,"Weak, rapid pulse",Drop in blood pressure,Seizures,Loss of consciousness,"Itchy, watery eyes",Anaphylaxis,,,,,,,
Penicillin allergy,"Serum sickness, which may cause fever, joint pain, rash, swelling and nausea","Drug-induced anemia, a reduction in red blood cells, which can cause fatigue, irregular heartbeats, shortness of breath, and other signs and symptoms","Drug reaction with eosinophilia and systemic symptoms (DRESS), which results in rash, high white blood cell counts, general swelling, swollen lymph nodes and recurrence of dormant hepatitis infection","Stevens-Johnson syndrome or toxic epidermal necrolysis, which involves severe blistering and peeling of the skin","Inflammation in the kidneys (nephritis), which can cause fever, blood in the urine, general swelling, confusion, and other signs and symptoms",Drop in blood pressure,Seizures,Loss of consciousness,"Itchy, watery eyes",Anaphylaxis,,,,,,,
Achalasia,"Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat",Regurgitating food or saliva,Heartburn,Belching,Chest pain that comes and goes,Coughing at night,Pneumonia (from aspiration of food into the lungs),Weight loss,Vomiting,,,,,,,,
Anemia,Fatigue,Weakness,Pale or yellowish skin,Irregular heartbeats,Shortness of breath,Dizziness or lightheadedness,Chest pain,Cold hands and feet,Headaches,,,,,,,,
Drug addiction (substance use disorder),Feeling that you have to use the drug regularly — daily or even several times a day,Having intense urges for the drug that block out any other thoughts,"Over time, needing more of the drug to get the same effect",Taking larger amounts of the drug over a longer period of time than you intended,Making certain that you maintain a supply of the drug,"Spending money on the drug, even though you can't afford it","Not meeting obligations and work responsibilities, or cutting back on social or recreational activities because of drug use","Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm","Doing things to get the drug that you normally wouldn't do, such as stealing",Driving or doing other risky activities when you're under the influence of the drug,"Spending a good deal of time getting the drug, using the drug or recovering from the effects of the drug",Failing in your attempts to stop using the drug,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),"Problems at school or work — frequently missing school or work, a sudden disinterest in school activities or work, or a drop in grades or work performance","Physical health issues — lack of energy and motivation, weight loss or gain, or red eyes","Neglected appearance — lack of interest in clothing, grooming or looks",Changes in behavior — exaggerated efforts to bar family members from entering his or her room or being secretive about where he or she goes with friends; or drastic changes in behavior and in relationships with family and friends,"Money issues — sudden requests for money without a reasonable explanation; or your discovery that money is missing or has been stolen or that items have disappeared from your home, indicating maybe they're being sold to support drug use","Spending money on the drug, even though you can't afford it","Not meeting obligations and work responsibilities, or cutting back on social or recreational activities because of drug use","Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm","Doing things to get the drug that you normally wouldn't do, such as stealing",Driving or doing other risky activities when you're under the influence of the drug,"Spending a good deal of time getting the drug, using the drug or recovering from the effects of the drug",Failing in your attempts to stop using the drug,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),"A sense of euphoria or feeling ""high""","A heightened sense of visual, auditory and taste perception",Increased blood pressure and heart rate,Red eyes,Dry mouth,Decreased coordination,Difficulty concentrating or remembering,Slowed reaction time,Anxiety or paranoid thinking,Cannabis odor on clothes or yellow fingertips,Exaggerated cravings for certain foods at unusual times,Failing in your attempts to stop using the drug,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),Decreased mental sharpness,Poor performance at school or at work,Reduced number of friends and interests,Red eyes,Dry mouth,Decreased coordination,Difficulty concentrating or remembering,Slowed reaction time,Anxiety or paranoid thinking,Cannabis odor on clothes or yellow fingertips,Exaggerated cravings for certain foods at unusual times,Failing in your attempts to stop using the drug,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),"A sense of euphoria or feeling ""high""",Elevated mood,"An altered sense of visual, auditory and taste perception",Extreme anxiety or agitation,Paranoia,Hallucinations,Increased heart rate and blood pressure or heart attack,Vomiting,Confusion,Cannabis odor on clothes or yellow fingertips,Exaggerated cravings for certain foods at unusual times,Failing in your attempts to stop using the drug,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),Euphoria,Increased sociability,Increased energy and agitation,Increased sex drive,Increased heart rate and blood pressure,Problems thinking clearly,Loss of muscle control,Paranoia,Panic attacks,Hallucinations,Delirium,Psychotic and violent behavior,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),Barbiturates. Examples include phenobarbital and secobarbital (Seconal).,"Benzodiazepines. Examples include sedatives, such as diazepam (Valium), alprazolam (Xanax), lorazepam (Ativan), clonazepam (Klonopin) and chlordiazepoxide (Librium).","Hypnotics. Examples include prescription sleeping medications such as zolpidem (Ambien, Intermezzo, others) and zaleplon (Sonata).",Increased sex drive,Increased heart rate and blood pressure,Problems thinking clearly,Loss of muscle control,Paranoia,Panic attacks,Hallucinations,Delirium,Psychotic and violent behavior,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),Drowsiness,Slurred speech,Lack of coordination,Irritability or changes in mood,Problems concentrating or thinking clearly,Memory problems,Involuntary eye movements,Lack of inhibition,Slowed breathing and reduced blood pressure,Falls or accidents,Dizziness,Psychotic and violent behavior,Experiencing withdrawal symptoms when you attempt to stop taking the drug,,,,
Drug addiction (substance use disorder),Feeling of exhilaration and excess confidence,Increased alertness,Increased energy and restlessness,Behavior changes or aggression,Rapid or rambling speech,Dilated pupils,"Confusion, delusions and hallucinations","Irritability, anxiety or paranoia","Changes in heart rate, blood pressure and body temperature",Nausea or vomiting with weight loss,Impaired judgment,Nasal congestion and damage to the mucous membrane of the nose (if snorting drugs),"Mouth sores, gum disease and tooth decay from smoking drugs (""meth mouth"")",Insomnia,Depression as the drug wears off,,
Drug addiction (substance use disorder),Hallucinations,Paranoia,Dilated pupils,Chills and sweating,Involuntary shaking (tremors),Behavior changes,Muscle cramping and teeth clenching,"Muscle relaxation, poor coordination or problems moving",Reduced inhibitions,"Heightened or altered sense of sight, sound and taste",Poor judgment,Memory problems or loss of memory,Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Drug addiction (substance use disorder),Hallucinations,"Greatly reduced perception of reality, for example, interpreting input from one of your senses as another, such as hearing colors",Impulsive behavior,Rapid shifts in emotions,Permanent mental changes in perception,Rapid heart rate and high blood pressure,Tremors,"Flashbacks, a re-experience of the hallucinations — even years later",Reduced inhibitions,"Heightened or altered sense of sight, sound and taste",Poor judgment,Memory problems or loss of memory,Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Drug addiction (substance use disorder),A feeling of being separated from your body and surroundings,Hallucinations,Problems with coordination and movement,"Aggressive, possibly violent behavior",Involuntary eye movements,Lack of pain sensation,Increase in blood pressure and heart rate,Problems with thinking and memory,Problems speaking,Impaired judgment,Intolerance to loud noise,Sometimes seizures or coma,Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Drug addiction (substance use disorder),Possessing an inhalant substance without a reasonable explanation,Brief euphoria or intoxication,Decreased inhibition,Combativeness or belligerence,Dizziness,Nausea or vomiting,Involuntary eye movements,"Appearing intoxicated with slurred speech, slow movements and poor coordination",Irregular heartbeats,Tremors,Lingering odor of inhalant material,Rash around the nose and mouth,Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Drug addiction (substance use disorder),Reduced sense of pain,"Agitation, drowsiness or sedation",Slurred speech,Problems with attention and memory,Constricted pupils,Lack of awareness or inattention to surrounding people and things,Problems with coordination,Depression,Confusion,Constipation,Runny nose or nose sores (if snorting drugs),Needle marks (if injecting drugs),Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Drug addiction (substance use disorder),You can't stop using a drug,You continue using the drug despite the harm it causes,"Your drug use has led to unsafe behavior, such as sharing needles or unprotected sex",You think you may be having withdrawal symptoms after stopping drug use,Constricted pupils,Lack of awareness or inattention to surrounding people and things,Problems with coordination,Depression,Confusion,Constipation,Runny nose or nose sores (if snorting drugs),Needle marks (if injecting drugs),Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Drug addiction (substance use disorder),May have overdosed,Shows changes in consciousness,Has trouble breathing,Has seizures or convulsions,"Has signs of a possible heart attack, such as chest pain or pressure",Has any other troublesome physical or psychological reaction to use of the drug,Problems with coordination,Depression,Confusion,Constipation,Runny nose or nose sores (if snorting drugs),Needle marks (if injecting drugs),Reduced consciousness,Increased or decreased heart rate and blood pressure,Depression as the drug wears off,,
Adenomyosis,Heavy or prolonged menstrual bleeding,"Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea)",Chronic pelvic pain,Painful intercourse (dyspareunia),,,,,,,,,,,,,
Ataxia,Poor coordination,Unsteady walk and a tendency to stumble,"Difficulty with fine motor tasks, such as eating, writing or buttoning a shirt",Change in speech,Involuntary back-and-forth eye movements (nystagmus),Difficulty swallowing,,,,,,,,,,,
Ataxia,Lose balance,"Lose muscle coordination in a hand, arm or leg",Have difficulty walking,Slur your speech,Have difficulty swallowing,Difficulty swallowing,,,,,,,,,,,
HIV/AIDS,Fever,Headache,Muscle aches and joint pain,Rash,Sore throat and painful mouth sores,"Swollen lymph glands, mainly on the neck",Diarrhea,Weight loss,Cough,Night sweats,,,,,,,
HIV/AIDS,Fever,Fatigue,Swollen lymph nodes — often one of the first signs of HIV infection,Diarrhea,Weight loss,Oral yeast infection (thrush),Shingles (herpes zoster),Pneumonia,Cough,Night sweats,,,,,,,
HIV/AIDS,Sweats,Chills,Recurring fever,Chronic diarrhea,Swollen lymph glands,Persistent white spots or unusual lesions on your tongue or in your mouth,"Persistent, unexplained fatigue",Weakness,Weight loss,Skin rashes or bumps,,,,,,,
HIV/AIDS,Early HIV symptoms: What are they?,Chills,Recurring fever,Chronic diarrhea,Swollen lymph glands,Persistent white spots or unusual lesions on your tongue or in your mouth,"Persistent, unexplained fatigue",Weakness,Weight loss,Skin rashes or bumps,,,,,,,
Breast cancer,A breast lump or thickening that feels different from the surrounding tissue,"Change in the size, shape or appearance of a breast","Changes to the skin over the breast, such as dimpling",A newly inverted nipple,"Peeling, scaling, crusting or flaking of the pigmented area of skin surrounding the nipple (areola) or breast skin","Redness or pitting of the skin over your breast, like the skin of an orange",,,,,,,,,,,
Adrenal cancer,Weight gain,Muscle weakness,Pink or purple stretch marks on the skin,"Hormone changes in women that might cause excess facial hair, hair loss on the head and irregular periods",Hormone changes in men that might cause enlarged breast tissue and shrinking testicles,Nausea,Vomiting,Abdominal bloating,Back pain,Fever,Loss of appetite,Loss of weight without trying,,,,,
Anorgasmia in women,Lifelong anorgasmia. You've never had an orgasm.,"Acquired anorgasmia. You used to have orgasms, but now have difficulty reaching climax.","Situational anorgasmia. You're able to have an orgasm only in certain circumstances, such as during oral sex or masturbation or only with a certain partner.",Generalized anorgasmia. You aren't able to have an orgasm in any situation or with any partner.,,,,,,,,,,,,,
Anal itching,Anal itching is severe or persistent,You have anal bleeding or stool leakage,The anal area seems to be infected,You can't figure out what's causing a persistent itch,,,,,,,,,,,,,
Rheumatoid arthritis,"Tender, warm, swollen joints",Joint stiffness that is usually worse in the mornings and after inactivity,"Fatigue, fever and loss of appetite",,,,,,,,,,,,,,
Rheumatoid arthritis,Skin,Eyes,Lungs,Heart,Kidneys,Salivary glands,Nerve tissue,Bone marrow,Blood vessels,,,,,,,,
Rheumatoid arthritis,Rheumatoid arthritis: Does pregnancy affect symptoms?,Eyes,Lungs,Heart,Kidneys,Salivary glands,Nerve tissue,Bone marrow,Blood vessels,,,,,,,,
Dry socket,Severe pain within a few days after a tooth extraction,"Partial or total loss of the blood clot at the tooth extraction site, which you may notice as an empty-looking (dry) socket",Visible bone in the socket,"Pain that radiates from the socket to your ear, eye, temple or neck on the same side of your face as the extraction",Bad breath or a foul odor coming from your mouth,Unpleasant taste in your mouth,,,,,,,,,,,
Angiosarcoma,"A raised, purplish area of skin that looks like a bruise",A bruise-like lesion that grows larger over time,A lesion that may bleed when scratched or bumped,Swelling in the surrounding skin,,,,,,,,,,,,,
Aortic valve regurgitation,"Fatigue and weakness, especially when you increase your activity level",Shortness of breath with exercise or when you lie down,Swollen ankles and feet,"Chest pain (angina), discomfort or tightness, often increasing during exercise",Lightheadedness or fainting,Irregular pulse (arrhythmia),Heart murmur,"Sensations of a rapid, fluttering heartbeat (palpitations)",,,,,,,,,
Anthrax,"A raised, itchy bump resembling an insect bite that quickly develops into a painless sore with a black center",Swelling in the sore and nearby lymph glands,"Sometimes, flu-like symptoms including fever and headache",,,,,,,,,,,,,,
Anthrax,Nausea,Vomiting,Abdominal pain,Headache,Loss of appetite,Fever,"Severe, bloody diarrhea in the later stages of the disease",Sore throat and difficulty swallowing,Swollen neck,,,,,,,,
Anthrax,"Flu-like symptoms for a few hours or days, such as sore throat, mild fever, fatigue and muscle aches",Mild chest discomfort,Shortness of breath,Nausea,Coughing up blood,Painful swallowing,High fever,Trouble breathing,Shock — an acute medical condition involving collapse of the circulatory system,Meningitis,,,,,,,
Anthrax,Redness at the area of injection (without an area that changes to black),Significant swelling,Shock,Multiple organ failure,Meningitis,Painful swallowing,High fever,Trouble breathing,Shock — an acute medical condition involving collapse of the circulatory system,Meningitis,,,,,,,
Acute myelogenous leukemia,Fever,Bone pain,Lethargy and fatigue,Shortness of breath,Pale skin,Frequent infections,Easy bruising,"Unusual bleeding, such as frequent nosebleeds and bleeding from the gums",,,,,,,,,
Aortic valve stenosis,Abnormal heart sound (heart murmur) heard through a stethoscope,Chest pain (angina) or tightness with activity,Feeling faint or dizzy or fainting with activity,"Shortness of breath, especially when you have been active","Fatigue, especially during times of increased activity","Rapid, fluttering heartbeat (palpitations)",Not eating enough (mainly in children with aortic valve stenosis),Not gaining enough weight (mainly in children with aortic valve stenosis),,,,,,,,,
Shellfish allergy,"Hives, itching or eczema (atopic dermatitis)","Swelling of the lips, face, tongue and throat, or other parts of the body","Wheezing, nasal congestion or trouble breathing","Abdominal pain, diarrhea, nausea or vomiting","Dizziness, lightheadedness or fainting",,,,,,,,,,,,
Shellfish allergy,A swollen throat or a lump in your throat (airway constriction) that makes it difficult for you to breathe,"Shock, with a severe drop in your blood pressure","Dizziness, lightheadedness or loss of consciousness","Abdominal pain, diarrhea, nausea or vomiting","Dizziness, lightheadedness or fainting",,,,,,,,,,,,
Allergies,Sneezing,"Itching of the nose, eyes or roof of the mouth","Runny, stuffy nose","Watery, red or swollen eyes (conjunctivitis)",,,,,,,,,,,,,
Allergies,Tingling in the mouth,"Swelling of the lips, tongue, face or throat",Hives,Anaphylaxis,,,,,,,,,,,,,
Allergies,A large area of swelling (edema) at the sting site,Itching or hives all over the body,"Cough, chest tightness, wheezing or shortness of breath",Anaphylaxis,,,,,,,,,,,,,
Allergies,Hives,Itchy skin,Rash,Facial swelling,Wheezing,Anaphylaxis,,,,,,,,,,,
Allergies,Itch,Redden,Flake or peel,Facial swelling,Wheezing,Anaphylaxis,,,,,,,,,,,
Allergies,Loss of consciousness,A drop in blood pressure,Severe shortness of breath,Skin rash,Lightheadedness,"A rapid, weak pulse",Nausea and vomiting,,,,,,,,,,
Iron deficiency anemia,Extreme fatigue,Weakness,Pale skin,"Chest pain, fast heartbeat or shortness of breath","Headache, dizziness or lightheadedness",Cold hands and feet,Inflammation or soreness of your tongue,Brittle nails,"Unusual cravings for non-nutritive substances, such as ice, dirt or starch","Poor appetite, especially in infants and children with iron deficiency anemia",,,,,,,
Iron deficiency anemia,Craving and chewing ice: A sign of anemia?,Weakness,Pale skin,"Chest pain, fast heartbeat or shortness of breath","Headache, dizziness or lightheadedness",Cold hands and feet,Inflammation or soreness of your tongue,Brittle nails,"Unusual cravings for non-nutritive substances, such as ice, dirt or starch","Poor appetite, especially in infants and children with iron deficiency anemia",,,,,,,
Sickle cell anemia,"
Anemia. Sickle cells break apart easily and die, leaving you with too few red blood cells. Red blood cells usually live for about 120 days before they need to be replaced. But sickle cells usually die in 10 to 20 days, leaving a shortage of red blood cells (anemia).
Without enough red blood cells, your body can't get enough oxygen, causing fatigue.
","
Episodes of pain. Periodic episodes of pain, called pain crises, are a major symptom of sickle cell anemia. Pain develops when sickle-shaped red blood cells block blood flow through tiny blood vessels to your chest, abdomen and joints. Pain can also occur in your bones.
The pain varies in intensity and can last for a few hours to a few weeks. Some people have only a few pain crises a year. Others have a dozen or more pain crises a year. A severe pain crisis requires a hospital stay.
Some adolescents and adults with sickle cell anemia also have chronic pain, which can result from bone and joint damage, ulcers, and other causes.
",Swelling of hands and feet. The swelling is caused by sickle-shaped red blood cells blocking blood flow to the hands and feet.,"Frequent infections. Sickle cells can damage your spleen, leaving you more vulnerable to infections. Doctors commonly give infants and children with sickle cell anemia vaccinations and antibiotics to prevent potentially life-threatening infections, such as pneumonia.",Delayed growth or puberty. Red blood cells provide your body with the oxygen and nutrients needed for growth. A shortage of healthy red blood cells can slow growth in infants and children and delay puberty in teenagers.,Vision problems. Tiny blood vessels that supply your eyes can become plugged with sickle cells. This can damage the retina — the portion of the eye that processes visual images — and lead to vision problems.,,,,,,,,,,,
Sickle cell anemia,"Fever. People with sickle cell anemia have an increased risk of serious infection, and fever can be the first sign of an infection.","Unexplained episodes of severe pain, such as pain in the abdomen, chest, bones or joints.",Swelling in the hands or feet.,"Abdominal swelling, especially if the area is tender to the touch.",Pale skin or nail beds.,Yellow tint to the skin or whites of the eyes.,"Signs or symptoms of stroke. If you notice one-sided paralysis or weakness in the face, arms or legs; confusion; trouble walking or talking; sudden vision changes or unexplained numbness; or a severe headache, call 911 or your local emergency number right away.",,,,,,,,,,
